country,location_name,dedication,contract_type,satisfaction_with_income,looking_for_job,job_title,years_of_experience,seniority_in_company,time_in_position,work_modality,state,career,university,age,gender_identity,seniority,annual_base_pay
Argentina,Buenos Aires,Full-Time,Staff (permanent),4,"No, I am very satisfied.",Developer,3.0,0.0,0.0,100% remoto,,,,25,Male,Semi-Senior,15976.128
Argentina,Buenos Aires City,Full-Time,Staff (permanent),2,"No, but I am open to offers.",Developer,2.0,1.0,1.0,100% remoto,,,,27,Female,Junior,8736.0
Argentina,Buenos Aires City,Full-Time,Staff (permanent),2,"No, but I am open to offers.",Developer,0.0,0.0,0.0,Hybrid (in-person and remote),,,,21,Male,Junior,3573.3599999999997
Argentina,Buenos Aires City,Full-Time,Staff (permanent),2,"No, I am very satisfied.",Developer,3.0,1.0,1.0,100% remoto,In progress,Licenciatura en Informática,UP - Universidad de Palermo,25,Male,Semi-Senior,11390.400000000001
Argentina,Río Negro,Full-Time,Staff (permanent),4,"No, I am very satisfied.",Developer,0.0,0.0,0.0,100% remoto,,,,24,Male,Junior,12768.0
Argentina,Córdoba,Full-Time,Staff (permanent),4,"No, but I am open to offers.",Product Manager,12.0,1.0,1.0,100% remoto,Completed,Analista Programador,UTN - Universidad Tecnológica Nacional,38,Female,Senior,4704.0
Argentina,Buenos Aires City,Full-Time,Staff (permanent),3,"No, but I am open to offers.",Technical Leader,19.0,4.0,1.0,100% remoto,Incomplete,Ingeniería en Informática,UAI - Universidad Abierta Interamericana,37,Male,Senior,57120.0
Argentina,Buenos Aires City,Full-Time,Staff (permanent),4,"Yes, I am actively looking.",Technical Leader,7.0,2.0,2.0,100% remoto,Incomplete,Licenciatura en Matemática,UBA - Universidad de Buenos Aires,28,Male,Senior,39312.0
Argentina,Mendoza,Full-Time,Staff (permanent),4,"No, but I am open to offers.",Developer,5.0,0.0,0.0,Hybrid (in-person and remote),In progress,Analista Programador,,28,Male,Semi-Senior,33600.0
Argentina,Córdoba,Full-Time,Staff (permanent),4,"No, but I am open to offers.",DBA,13.0,2.0,2.0,100% remoto,,,,39,Male,Senior,21840.0
Argentina,Buenos Aires City,Full-Time,Staff (permanent),3,"No, but I am open to offers.",SysAdmin / DevOps / SRE,7.0,5.0,0.0,Hybrid (in-person and remote),In progress,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,26,Male,Senior,13608.0
Argentina,Buenos Aires City,Full-Time,Staff (permanent),4,"No, but I am open to offers.",Soporte L2/L3,1.0,0.0,0.0,Hybrid (in-person and remote),Completed,,,37,Male,Junior,13910.400000000001
Argentina,Buenos Aires,Full-Time,Staff (permanent),2,"No, but I am open to offers.",SysAdmin / DevOps / SRE,6.0,1.0,0.0,Hybrid (in-person and remote),Incomplete,Analista de Computación,ESBA - Escuela Superior Buenos Aires,37,Male,Senior,33835.2
Argentina,Buenos Aires City,Full-Time,Remote (foreign company),4,"No, I am very satisfied.",Data Engineer,2.0,0.0,0.0,100% remoto,,,,38,Male,Junior,50400.0
Argentina,Buenos Aires City,Full-Time,Staff (permanent),2,"No, but I am open to offers.",Data Engineer,1.5,1.5,1.5,100% remoto,,,,25,Male,Junior,6552.0
Argentina,San Luis,Full-Time,Staff (permanent),2,"No, but I am open to offers.",Developer,0.0,0.0,0.0,100% remoto,In progress,Tecnicatura en Programación,,22,Male,Junior,3024.0
Argentina,Buenos Aires City,Full-Time,Staff (permanent),4,"No, I am very satisfied.",Recruiter / HR,7.0,2.0,1.0,100% remoto,,,,28,Male,Senior,9945.599999999999
Argentina,Buenos Aires City,Full-Time,Staff (permanent),3,"No, but I am open to offers.",Developer,4.0,1.0,1.0,100% remoto,In progress,Licenciatura en Informática,UNQ - Universidad Nacional de Quilmes,40,Male,Semi-Senior,14112.0
Argentina,Buenos Aires City,Full-Time,Staff (permanent),4,"No, I am very satisfied.",Project Manager,2.0,2.0,2.0,Hybrid (in-person and remote),,,,23,Male,Junior,6461.279999999999
Argentina,Buenos Aires,Full-Time,Staff (permanent),1,"No, but I am open to offers.",Consultant,2.0,2.0,1.0,100% remoto,,,,29,Male,Junior,7243.152
Argentina,Buenos Aires City,Part-Time,Staff (permanent),1,"No, but I am open to offers.",Developer,0.0,0.0,0.0,100% remoto,In progress,Ingeniería en Informática,UBA - Universidad de Buenos Aires,25,Male,Junior,4032.0
