country,employer_name,job_title,annual_base_pay,location_name,employment_status,job_roles
India,Sasken,Android Developer,4800.0,Bangalore,Full Time,Android
India,Sasken,Android Developer,4800.0,Bangalore,Full Time,Android
India,Sasken,Android Developer,4800.0,Bangalore,Full Time,Android
India,Advanced Millennium Technologies,Android Developer,4800.0,Bangalore,Full Time,Android
India,Advanced Millennium Technologies,Android Developer,4800.0,Bangalore,Full Time,Android
India,Advanced Millennium Technologies,Android Developer,4800.0,Bangalore,Full Time,Android
India,Unacademy,Android Developer,12000.0,Bangalore,Full Time,Android
India,Unacademy,Android Developer,12000.0,Bangalore,Full Time,Android
India,Unacademy,Android Developer,12000.0,Bangalore,Full Time,Android
India,SnapBizz Cloudtech,Android Developer,3600.0,Bangalore,Full Time,Android
India,SnapBizz Cloudtech,Android Developer,3600.0,Bangalore,Full Time,Android
India,SnapBizz Cloudtech,Android Developer,3600.0,Bangalore,Full Time,Android
India,Appoids Tech Solutions,Android Developer,7200.0,Bangalore,Full Time,Android
India,Appoids Tech Solutions,Android Developer,7200.0,Bangalore,Full Time,Android
India,Appoids Tech Solutions,Android Developer,7200.0,Bangalore,Full Time,Android
India,Freelancer,Android Developer,1200.0,Bangalore,Full Time,Android
India,Freelancer,Android Developer,1200.0,Bangalore,Full Time,Android
India,Freelancer,Android Developer,1200.0,Bangalore,Full Time,Android
India,SQUARE N CUBE,Android Developer,2304.0,Bangalore,Full Time,Android
India,SQUARE N CUBE,Android Developer,2304.0,Bangalore,Full Time,Android
India,SQUARE N CUBE,Android Developer,2304.0,Bangalore,Full Time,Android
India,Samsung R&D Institute India - Bangalore,Android Developer,4800.0,Bangalore,Full Time,Android
India,Samsung R&D Institute India - Bangalore,Android Developer,4800.0,Bangalore,Full Time,Android
India,Samsung R&D Institute India - Bangalore,Android Developer,4800.0,Bangalore,Full Time,Android
India,DXMinds Technologies,Android Developer,3600.0,Bangalore,Full Time,Android
India,DXMinds Technologies,Android Developer,3600.0,Bangalore,Full Time,Android
India,DXMinds Technologies,Android Developer,3600.0,Bangalore,Full Time,Android
India,Endeavour Software Technologies,Android Developer,7200.0,Bangalore,Full Time,Android
India,Endeavour Software Technologies,Android Developer,7200.0,Bangalore,Full Time,Android
India,Endeavour Software Technologies,Android Developer,7200.0,Bangalore,Full Time,Android
India,Craft Silicon,Android Developer,3600.0,Bangalore,Full Time,Android
India,Craft Silicon,Android Developer,3600.0,Bangalore,Full Time,Android
India,Craft Silicon,Android Developer,3600.0,Bangalore,Full Time,Android
India,Baronford & Associates,Android Developer,2880.0,Bangalore,Full Time,Android
India,Baronford & Associates,Android Developer,2880.0,Bangalore,Full Time,Android
India,Wibmo,Android Developer,10800.0,Bangalore,Full Time,Android
India,Wibmo,Android Developer,10800.0,Bangalore,Full Time,Android
