country,employer_name,location_name,location_state,location_country,job_title,total_experience_years,employer_experience_years,annual_base_pay,signing_bonus,annual_bonus,stock_value_bonus,total
US/EU,opower,"san francisco, ca",CA,US,systems engineer,13.0,2.0,125000.0,5000.0,0.0,5000 shares,130000.0
US/EU,walmart,"bentonville, ar",AR,US,senior developer,15.0,8.0,65000.0,,5000.0,"3,000",70000.0
US/EU,vertical knowledge,"cleveland, oh",OH,US,software engineer,4.0,1.0,86000.0,5000.0,6000.0,0,97000.0
US/EU,apple,cupertino,,,software engineer,4.0,3.0,110000.0,5000.0,7000.0,150000,122000.0
US/EU,casino,eastern oregon,OR,US,it technician,5.0,1.5,40000.0,0.0,500.0,0,40500.0
US/EU,tetra tech,"madison, wi",WI,US,lead interviewer,4.0,2.5,45000.0,0.0,1500.0,,46500.0
US/EU,knewton,new york city,NY,US,senior software engineer,8.0,2.0,135000.0,0.0,0.0,,135000.0
US/EU,amplify,nyc,,,software engineer,2.0,1.0,105000.0,0.0,47000.0,0,152000.0
US/EU,sqor,san francisco,,,infrastructure/platform engineer,1.0,1.0,80000.0,0.0,0.0,500,80000.0
US/EU,pensco trust company,"denver, co",CO,US,senior software engineer,10.0,1.5,120000.0,0.0,6000.0,0,126000.0
US/EU,thoughtworks,chicago,,,"software developer, consultant",2.0,2.0,78000.0,0.0,0.0,0,78000.0
US/EU,purdue,"west lafayette, in",IN,US,web developer,2.0,1.5,60000.0,,,,60000.0
US/EU,small b2b company,minneapolis,,,analyst,4.0,1.0,63000.0,0.0,2000.0,0,65000.0
US/EU,small b2b company,minneapolis,,,analyst,4.0,1.0,63000.0,0.0,2000.0,0,65000.0
US/EU,sqli,bordeaux,,,it project manager,8.0,3.0,38.0,0.0,0.0,0,38.0
US/EU,slalom,seattle,,,senior engineer,5.0,1.0,93000.0,0.0,15000.0,0,108000.0
US/EU,magento commerce,"charleston, sc",SC,US,member of technical staff,19.0,1.0,131000.0,,,80000,131000.0
US/EU,oracle,"bala cynwyd, pa",PA,US,student intern co-op,0.0,0.0,24.0,0.0,0.0,$0,24.0
US/EU,klick,"toronto, canada",,CA,full stack developer,5.0,3.0,85000.0,0.0,5000.0,0,90000.0
US/EU,small consulting shop,"durham, nc",NC,US,developer,10.0,3.5,150000.0,,,,150000.0
US/EU,amazon,seattle,,,sde1,0.0,0.0,95000.0,20000.0,,30000,115000.0
US/EU,nbc universal,new york,NY,US,senior analyst,2.0,1.5,55000.0,0.0,0.0,0,55000.0
US/EU,30 person startup,san francisco,,,software engineer,5.0,2.0,125000.0,0.0,0.0,0,125000.0
US/EU,liveops,santa clara,,,sr engineer,6.0,3.0,145000.0,0.0,20000.0,15000,165000.0
US/EU,expedia,chicago,,,software engineer,,2.5,78000.0,5000.0,4000.0,,87000.0
US/EU,quick left,boulder co,CO,US,senior developer,6.0,1.0,120000.0,0.0,0.0,500,120000.0
US/EU,1&1 development srl,"bucharest, romania",,OM,software developer,5.0,2.0,17264.0,0.0,0.0,0,17264.0
US/EU,early-stage startup,"stockholm, sweden",,SE,ios developer,8.0,0.8,36.5,0.0,0.0,0,36.5
US/EU,rei systems,"sterling, va",VA,US,associate software engineer,1.0,1.0,55000.0,,,,55000.0
US/EU,mitsubishi hitachi power systems america,"orlando, florida",FL,US,steam turbine service engineer,4.0,1.0,80001.0,10000.0,,,90001.0
US/EU,startup,"detroit, mi",MI,US,senior engineer,8.0,3.0,100000.0,0.0,0.0,80000,100000.0
US/EU,sf startup,"san francisco, ca",CA,US,web developer,5.0,0.5,125000.0,5000.0,10.0,,130010.0
US/EU,intel,"hillsboro, oregon",OR,US,product development engineer,2.5,2.5,82000.0,,,,82000.0
US/EU,city of austin,"austin, tx",TX,US,it programmer,40.0,15.0,103000.0,0.0,1500.0,0,104500.0
US/EU,early-stage startup,"denver, co",CO,US,director of product,5.0,3.0,80000.0,,,50000,80000.0
US/EU,social tables,washington dc,WA,US,engineer,2.0,1.0,80000.0,5000.0,,,85000.0
US/EU,loyalty new zealand,"wellington, new zealand",,NZ,software engineer,2.0,2.0,50000.0,,5000.0,,55000.0
US/EU,freelance,"denver, co",CO,US,software engineer,20.0,11.0,190000.0,0.0,0.0,0,190000.0
US/EU,.gov,"albany, ny",NY,US,architect,18.0,16.0,119000.0,0.0,2000.0,0,121000.0
US/EU,twilio,san francisco,,,software engineer new grad,1.0,1.0,115000.0,10000.0,,~80k options,125000.0
US/EU,stronghold data,joplin mo,MO,US,teir two tech,9.0,4.0,38000.0,0.0,1000.0,0,39000.0
US/EU,self-employed,"jersey city, nj",,JE,"consultant, cto as needed",8.0,1.0,325000.0,0.0,0.0,0,325000.0
US/EU,employer x,phils,,,web developer,8.0,2.0,100000.0,,,,100000.0
US/EU,financial sector,"bristol, uk",,,software analyst,2.0,1.0,23000.0,0.0,500.0,0,23500.0
US/EU,comcast,"philadelphia, pa",PA,US,python engineer,5.0,1.0,138000.0,0.0,0.0,0,138000.0
US/EU,linkedin,"san jose, ca",CA,US,site reliability engineer,4.0,1.0,140000.0,,14000.0,43750,154000.0
US/EU,nara logics,"cambridge, ma",MA,US,software developer,12.0,4.0,115000.0,,,,115000.0
US/EU,mckinsey & company,san francisco,,,business analyst,1.5,1.5,90000.0,10000.0,22000.0,0,122000.0
US/EU,small b2b company,"barcelona, spain",,ES,system administrator,10.0,10.0,1575.0,0.0,3000.0,0,4575.0
US/EU,microsoft,"redmond, wa",WA,US,software engineer 1,1.0,1.0,105000.0,15000.0,,50000,120000.0
US/EU,startup,"san francisco, ca",CA,US,software engineer,2.5,1.0,100000.0,0.0,0.0,,100000.0
US/EU,cornell,"ithaca, ny",NY,US,phd student,4.0,4.0,28500.0,0.0,0.0,0,28500.0
US/EU,microsoft,"redmond, wa",WA,US,sde,4.0,2.0,275000.0,0.0,2.0,Part of Annual Bonus,275002.0
US/EU,booking,amsterdam,,,perl developer,10.0,1.0,61.7,,25000.0,35k USD,25061.7
US/EU,amazon,seattle,,,software development engineer,0.0,1.0,95000.0,22000.0,20000.0,52000,137000.0
US/EU,too small to say,"oklahoma city, ok",OK,US,web developer general it,10.0,7.5,88000.0,0.0,8000.0,2500,96000.0
US/EU,ibm,chicago,,,linux engineer,1.0,1.0,84000.0,,,,84000.0
US/EU,synopsys,san francisco,,,"software engineer, sr 1",3.0,2.0,115000.0,0.0,10000.0,5000,125000.0
US/EU,analytics company,"raleigh, nc",NC,US,software developer,11.0,2.0,103000.0,,12000.0,,115000.0
US/EU,epic,"verona, wisconsin",WI,US,software developer,4.0,2.0,94000.0,,2000.0,,96000.0
US/EU,evry,"karlstad, sweden",,SE,consultant,3.0,2.0,380000.0,,,,380000.0
US/EU,b2b,nj,,,senior developer,10.0,3.0,140000.0,0.0,10000.0,0,150000.0
US/EU,texas tech  system,"lubbock, tx",TX,US,programmer analyst iii,7.0,3.0,55000.0,0.0,0.0,0,55000.0
US/EU,unc-ch/ncsu joint biomedical engr. dept,"raleigh, nc",NC,US,phd student,4.0,1.0,24073.0,0.0,0.0,0,24073.0
US/EU,investment bank,"new york, ny",NY,US,m&a analyst,1.0,1.0,85000.0,15000.0,70000.0,0,170000.0
US/EU,microsoft,"london, uk",,,software engineer,3.0,0.0,86742.0,0.0,8532.0,å£3500,95274.0
US/EU,apple,sunnyvale,,,senior software engineer,10.0,2.0,151000.0,20000.0,40000.0,10000,211000.0
US/EU,ihs,poland,,PL,software engineer,4.0,2.0,30000.0,,,2500,30000.0
US/EU,conde nast,"new york city, ny",NY,US,software engineer - level 2,8.0,4.0,112000.0,0.0,2.0,0,112002.0
US/EU,mid-size fundraising startup,"san francisco, ca",CA,US,senior software engineer,11.0,0.0,165000.0,0.0,0.0,0.15%,165000.0
US/EU,starbucks coffee company,"seattel, wa",WA,US,senior application developer,10.0,3.0,127000.0,0.0,15.0,10,127015.0
US/EU,linkedin,1,,,senior web developer,10.0,4.0,165000.0,,15000.0,50000,180000.0
US/EU,yahoo!,1,,,senior software development engineer,10.0,6.0,93000.0,15000.0,9000.0,,117000.0
US/EU,factset,1,,,software engineer,5.0,3.0,120000.0,5000.0,0.0,0,125000.0
US/EU,tango.me,1,,,senior data engineer,10.0,1.0,130000.0,,,,130000.0
US/EU,microsoft,2,,,sde ii,4.0,4.0,125000.0,50000.0,10000.0,5000,185000.0
US/EU,google nyc,1,,,swe iii,10.0,1.0,135500.0,50000.0,22300.0,43700,207800.0
US/EU,rockfish interactive,1,,,developer ii,5.0,2.0,65000.0,0.0,1950.0,0,66950.0
US/EU,apple,95014,CA,US,senior system engineer,9.0,1.0,130000.0,20000.0,,40000,150000.0
US/EU,amazon,98102,WA,US,ux designer ii,1.0,1.0,12000.0,55000.0,15000.0,20000,82000.0
US/EU,walmartlabs,94086,CA,US,principal/lead software engineer,14.0,4.0,190000.0,150000.0,50000.0,75000,390000.0
US/EU,intel,"hillsboro, oregon",OR,US,computer hardware engineer,1.5,1.5,72000.0,0.0,0.0,0,72000.0
US/EU,google,mountain view,,,senior software engineer,15.0,5.0,178000.0,15000.0,50000.0,100000,243000.0
US/EU,vertafore,bothell,,,software engineer in devops i,1.0,1.0,50000.0,0.0,,0,50000.0
US/EU,amazon,98105,WA,US,ux designer ii,1.0,1.0,120000.0,0.0,0.0,0,120000.0
US/EU,caesartenders,0,,,software engineer,7.0,2.0,62000.0,0.0,0.0,0,62000.0
US/EU,small ~15 startup,israel,,IL,senior software engineer,8.0,2.0,90000.0,,,,90000.0
US/EU,municipality,"bremerhaven, germany",,DE,software developer,11.0,7.0,54100.0,,3595.0,,57695.0
US/EU,microsoft,98004,WA,US,software engineer 2,4.0,3.5,115000.0,50000.0,15000.0,7500,180000.0
US/EU,startup,berlin,,,lead engineer,7.0,0.0,78000.0,,,,78000.0
US/EU,small web biz,palo alto,,,engineer,2.0,0.2,140.0,10.0,,,150.0
US/EU,analyst warehouse,dallas tx,TX,US,software developer,10.0,1.0,90000.0,0.0,0.0,0,90000.0
US/EU,amazon,san francisco,,,sdeii,6.0,4.0,130000.0,,,150000,130000.0
US/EU,fyber gmbh,berlin,,,senior software developer,9.0,4.0,65000.0,3000.0,0.0,0,68000.0
US/EU,twilio,san francisco,,,senior software engineer,2.5,2.5,132000.0,5000.0,0.0,,137000.0
US/EU,facebook,seattle,,,software engineer,6.0,4.0,225000.0,50000.0,45000.0,200000,320000.0
US/EU,dupont pioneer,"johnston, iowa",IA,US,software developer,10.0,3.0,125000.0,10000.0,15000.0,0,150000.0
US/EU,newspaper company,california,CA,US,cto,8.0,1.0,100000.0,0.0,0.0,0,100000.0
US/EU,bhhc,"omaha, ne",NE,US,fp&a analyst,3.0,3.0,46500.0,0.0,0.0,0,46500.0
